playerID,awardCount,homeRunsPerYear,yearsPlayed,runsAllowed,yearsRetired,totalGames,managersWins,class
clibust02,0,0.0000,4.0411,73,34.2027,86,0,FALSE
cliftfl01,0,8.5031,3.1753,0,85.4904,87,0,FALSE
coxte02,0,16.0629,4.0466,0,41.2000,272,0,FALSE
crumlge01,0,0.0000,0.0493,0,77.2384,6,0,FALSE
daniela01,0,37.8059,1.4548,0,134.2521,111,0,FALSE
danksjo01,0,0.0000,9.0630,783,6.6110,247,0,FALSE
davanje02,0,25.4074,8.0685,0,15.1945,528,0,FALSE
dealsn01,0,52.7170,0.2466,0,116.2438,65,0,FALSE
delabst01,0,0.0000,4.6959,95,6.5479,190,0,FALSE
diazye01,0,0.0000,0.0000,2,3.3425,1,0,FALSE
doyneco01,0,0.0000,0.1288,6,15.3562,5,0,FALSE
drakesa01,0,3.2589,2.4548,0,60.2247,53,0,FALSE
durhaed01,0,1.7969,4.4521,360,89.2438,145,0,FALSE
eggleda01,0,34.8940,14.0712,0,137.5836,578,0,FALSE
ellamro01,0,1.4524,8.9507,0,104.3425,36,0,FALSE
fernaju02,0,0.0000,0.0740,0,1.1781,0,0,FALSE
fienelo01,0,0.3012,3.3205,78,113.3863,29,0,FALSE
figgefr01,0,0.0000,0.0000,14,128.2822,1,0,FALSE
filerto01,0,0.1966,10.1726,155,30.3507,68,0,FALSE
fioremi01,0,19.8371,3.7808,0,50.4630,254,0,FALSE
fontemi01,0,23.9772,7.2986,0,10.3616,582,0,FALSE
francju02,0,21.8206,5.0411,0,8.1945,404,0,TRUE
frasoja01,0,0.0000,11.2986,267,7.3534,679,0,FALSE
frienbo01,1,3.6318,15.4192,1652,56.2384,602,0,FALSE
fullich01,0,36.0507,8.4603,0,86.2521,590,0,FALSE
gainede01,0,16.7657,13.0027,0,100.2521,548,0,FALSE
galeri01,0,0.9347,6.4192,544,38.2137,195,0,FALSE
garbeba01,0,16.8836,4.5014,0,34.2000,226,0,FALSE
gedeoel01,0,72.9927,0.0137,0,83.2603,5,0,FALSE
gilbrlu01,0,0.0000,0.4247,0,1.1753,0,0,FALSE
gohrgr01,0,0.0000,3.4767,131,26.2082,66,0,FALSE
greenja01,0,0.0000,0.1863,16,22.2000,14,0,FALSE
greensc01,0,9.4724,3.1671,0,22.1945,117,0,FALSE
grosswa01,0,36.8657,10.1178,0,36.2055,1106,0,FALSE
harribo01,0,3.7552,3.9945,397,80.2767,128,0,FALSE
hartnga01,16,44.5397,19.4658,0,81.2548,1990,383,TRUE
hawkebi01,0,10.1135,2.1753,417,128.2685,77,0,FALSE
hawlepi01,0,14.4094,9.0219,1927,121.3781,399,0,FALSE
heffndo01,0,27.3874,10.0411,0,78.6575,743,83,FALSE
herremi01,0,22.0000,1.0000,0,96.2712,84,0,FALSE
herritr01,0,2.3702,0.4219,83,66.2384,34,0,FALSE
hicksna01,0,33.5721,5.1233,0,145.6000,265,71,FALSE
hodgspa01,0,52.1376,0.0959,0,42.1973,20,0,FALSE
hollabi01,0,0.0000,0.0164,0,102.2438,3,0,FALSE
hubbaal01,0,363.6364,0.0055,0,139.3178,2,0,FALSE
humphjo01,0,26.7464,1.2712,0,138.2384,103,0,FALSE
huntke02,0,0.0000,0.4575,70,61.2247,29,0,FALSE
irvinmo01,0,50.5832,7.2356,0,66.2274,764,0,TRUE
jackssa01,0,17.0460,0.9973,0,150.6822,21,0,FALSE
johnsda07,0,0.0000,1.1233,0,1.2438,0,0,FALSE
johnsji03,0,0.0000,0.0137,6,52.6712,3,0,FALSE
johnswa02,0,0.2057,4.8603,20,105.6329,8,0,FALSE
jordasc01,0,0.0000,0.0822,0,34.2000,7,0,FALSE
keeneje01,0,0.0000,1.3041,12,39.2192,23,0,FALSE
kemmeru01,0,1.4453,8.9945,588,59.4959,302,0,FALSE
kennete02,1,36.1945,13.0959,0,31.1890,1491,0,TRUE
kingsge01,0,9.6091,6.7644,0,19.5096,211,0,FALSE
kisher01,0,65.1890,0.1534,0,77.2548,43,0,FALSE
kressre01,1,36.7071,18.8247,14,76.4411,1391,0,TRUE
lakeed01,0,40.1118,11.0192,13,72.2329,835,0,FALSE
lamanra01,0,17.2663,7.0658,0,74.2247,442,0,FALSE
lankfra01,0,68.5125,14.1288,0,18.1863,1701,0,TRUE
lawru01,0,46.9885,8.0658,0,36.1973,749,0,FALSE
levinal01,0,0.0000,8.9726,287,17.5014,416,0,FALSE
lukema01,0,11.1645,3.4932,0,23.2000,123,0,FALSE
manuech01,0,3.8715,6.4575,0,47.2411,242,1826,FALSE
mateohe01,0,7.5278,5.1808,0,16.1918,190,0,FALSE
matsuhi01,1,70.4029,9.3178,0,10.3808,1236,0,TRUE
mazzach01,0,0.0000,0.2521,10,3.1890,9,0,FALSE
mccurha01,0,12.3249,12.0082,0,88.4932,543,0,FALSE
mcdondo01,0,2.5584,1.1726,0,20.4740,15,0,FALSE
mcguide01,0,27.5755,27.9233,5,110.6274,1781,516,FALSE
messito01,0,0.0000,0.0164,0,123.2932,3,0,FALSE
milleed03,1,38.3649,14.0493,0,72.2493,1510,0,FALSE
milleru01,0,0.9891,1.0110,88,94.2548,38,0,FALSE
milletr02,0,0.0664,15.0630,264,11.2082,694,0,FALSE
misiean01,0,0.0000,1.1945,0,1.1753,0,0,FALSE
mmahake01,0,0.0000,0.0603,12,33.2027,4,0,FALSE
morehda01,0,1.6067,7.4685,430,52.2219,177,0,FALSE
murphpa02,0,0.0000,1.0411,0,1.1753,0,0,FALSE
nelsome01,0,0.2303,8.6849,95,53.5479,96,0,FALSE
nichodo02,0,0.0000,0.4493,27,64.2384,24,0,FALSE
nichoro01,0,7.3983,0.4055,0,78.2329,11,0,FALSE
noboaju01,0,4.7194,9.9589,0,28.3562,317,0,FALSE
nosekra01,0,0.0000,1.3507,15,32.2000,5,0,FALSE
owensja01,0,0.0000,0.0027,0,87.2658,2,0,FALSE
parkch01,0,1.6370,16.4932,1046,12.1890,479,0,FALSE
paterjo01,0,0.0000,3.4685,28,8.2192,73,0,FALSE
perdolu02,0,1.1469,3.4877,267,3.1890,124,0,FALSE
perezbe01,0,0.0000,0.0767,9,16.1945,9,0,FALSE
perezra01,0,0.0000,6.0192,147,10.6219,338,0,FALSE
pilnean01,0,0.0000,0.0384,0,86.5041,3,0,FALSE
poffebo01,0,2.5740,1.9425,160,83.6027,57,0,FALSE
quarlbi01,0,0.0000,2.3068,47,129.3260,6,0,FALSE
ramiror01,0,4.9352,4.8630,0,43.5890,143,0,FALSE
redmoja01,0,22.2903,0.3589,0,87.3260,22,0,FALSE
reilljo02,0,199.3355,0.0301,0,137.5562,10,0,FALSE
rendoan01,3,88.6495,6.4411,0,3.1918,933,0,FALSE
riddldo01,0,0.0000,0.0000,4,123.3726,1,0,FALSE
robersh01,0,16.6061,12.0438,0,70.2548,597,0,FALSE
robinro01,0,1.1410,7.8877,376,30.4493,232,0,FALSE
salasfe01,0,0.0000,9.1507,225,3.3836,496,0,FALSE
sanched01,0,0.0000,2.3370,21,9.3205,47,0,FALSE
sauteal01,0,11.0619,0.0904,0,132.2411,15,0,FALSE
schemfr01,0,0.0000,0.0493,3,99.2438,2,0,FALSE
schulja02,0,0.0000,1.1644,23,3.3616,26,0,FALSE
schulje01,0,2.9436,1.6986,0,31.5836,40,0,FALSE
sedlash01,0,0.0000,0.2767,64,20.2055,16,0,FALSE
sisledi01,0,41.3778,7.2986,0,69.3945,799,215,FALSE
smithbo05,0,0.6979,1.4329,57,63.2356,30,0,FALSE
sparmjo01,0,1.8392,5.9808,423,52.6055,185,0,FALSE
starkco01,0,0.0000,0.0000,6,116.7123,1,0,FALSE
stokear01,0,0.0000,0.1781,15,97.4767,12,0,FALSE
stremph01,0,2.8629,0.6986,28,112.6000,7,0,FALSE
summeki01,0,370.3704,0.0027,0,129.4192,2,0,FALSE
sundbji01,8,40.1036,15.4849,0,33.2219,1962,0,TRUE
suterbr01,0,1.6079,3.1096,97,3.1918,67,0,FALSE
thomaro02,0,0.0000,9.8740,203,35.3644,182,0,FALSE
traffjo01,0,0.0000,0.0000,0,133.5644,1,0,FALSE
turched01,0,66.3350,0.0603,0,79.5726,11,0,FALSE
urenajo01,0,1.3460,4.4575,304,3.1945,142,0,FALSE
valenja01,0,13.9375,11.0493,0,14.1973,631,0,FALSE
valenvi01,0,0.2044,4.8932,145,63.6164,108,0,FALSE
vanceco01,0,1.9730,1.0137,22,19.2082,11,0,FALSE
ventomi01,0,4.0706,0.7370,0,16.5041,11,0,FALSE
voitlu01,0,53.0903,2.2603,0,3.1918,227,0,FALSE
wadega01,0,4.6438,1.0767,0,66.6247,19,0,FALSE
wadety01,0,13.7320,2.2575,0,3.1890,110,0,FALSE
wakefbi01,0,0.0000,0.4630,57,58.2110,62,0,FALSE
walkeru01,0,11.2217,10.1589,0,64.5205,608,0,FALSE
walkesp01,0,0.0000,0.0000,0,99.2932,2,0,FALSE
waltobr01,0,0.0000,3.1507,31,28.4438,27,0,FALSE
whiteed02,0,20.7383,0.2411,0,33.2027,36,0,FALSE
wongco01,0,0.0000,0.1370,0,1.3205,0,0,FALSE
woodke01,0,21.6911,5.0712,0,69.5863,342,0,FALSE
yanes01,0,0.0987,10.1342,426,16.4301,472,0,FALSE
yarriru01,0,0.0000,2.0685,42,98.6493,21,0,FALSE
zahnge01,1,0.2509,11.9562,889,37.3370,304,0,TRUE
zernigu01,0,54.7835,10.4411,0,63.2411,1234,0,FALSE
bicke99,0,0.0000,0.0000,0,0.0000,0,1,FALSE
blankky01,0,18.3502,5.9945,0,7.4795,278,0,FALSE
blatest01,0,0.0000,3.5945,9,47.6603,5,0,FALSE
borbope02,0,0.0000,10.8740,154,19.3233,368,0,FALSE
brohatr01,0,0.0000,2.0767,37,19.5836,82,0,FALSE
brownad01,0,18.3940,9.0247,0,16.5507,447,0,FALSE
brownla01,0,29.4455,11.2411,0,48.2192,1129,0,TRUE
buchaji01,0,10.4888,0.4767,76,117.2438,22,0,FALSE
burkael01,0,0.7580,2.6384,23,83.6466,16,0,FALSE
burnsja02,0,89.6749,6.0329,0,86.2493,890,0,FALSE
burreha01,0,36.4964,0.0548,36,131.2630,8,0,FALSE
caldeiv01,0,51.3470,9.1534,0,29.1945,924,0,FALSE
calzana01,0,0.0000,0.0247,0,17.5096,4,0,FALSE
campisa01,0,0.0000,1.6904,22,51.6548,50,0,FALSE
cervefr01,0,24.5569,11.0356,0,3.1890,714,0,FALSE
condrcl01,0,0.2814,7.1068,123,13.1808,179,0,FALSE
cookaa01,0,2.5635,10.1425,776,10.1945,272,0,FALSE
corcoto01,0,68.9959,17.2329,0,115.4877,2207,0,FALSE
cordewi01,1,45.1823,12.9918,0,17.3973,1247,0,FALSE
crawfca01,0,0.0000,0.0000,10,26.5151,1,0,FALSE
crothdo01,0,11.9827,1.0849,150,137.3479,22,0,FALSE
culpbe01,0,2.7609,1.8110,0,78.4630,15,0,FALSE
daltomi01,0,0.0000,0.0411,3,31.4986,4,0,FALSE
dassofr01,0,1.7805,1.1233,53,76.5534,18,0,FALSE
daviser02,0,0.0000,0.3068,3,9.2110,10,0,FALSE
dealli01,0,0.0000,0.0493,0,83.2384,4,0,FALSE
dowdki01,0,0.0000,0.0000,4,112.4986,1,0,FALSE
downsda01,0,21.4592,0.0466,7,50.2466,4,0,FALSE
dumatph01,0,0.0000,4.1534,111,11.2027,87,0,FALSE
durenry01,0,0.7337,10.9041,284,57.3397,312,0,FALSE
elderda01,0,0.0000,0.7973,15,19.5863,19,0,FALSE
engeljo01,0,0.8545,8.1918,199,102.4027,103,0,FALSE
engleri01,0,0.0000,0.0000,4,41.2877,1,0,FALSE
fisheto01,0,17.2786,0.4630,165,118.2548,39,0,FALSE
frazilo01,0,16.2928,5.0329,0,24.6493,309,0,FALSE
