playerId,awardCount,homeRuns,totalGames,oba,era,slg,obp,allStar,yearsPlayed,finalGame,completeGames,zr,class
dinnebi01,0,1,417,999,3.173076923076924,0.2187,0.25182211,0,11.3507,1909-08-26,306,0,FALSE
disarga01,0,28,1086,999,999,0.3408,0.29228817,1,10.6301,2000-05-08,0,0,FALSE
doakbi01,0,1,453,0.2770588235294118,3.6605882352941173,0.1580,0.15688274,0,16.7068,1929-05-13,162,0,FALSE
dobsopa01,0,0,414,0.255,3.700833333333333,0.1356,0.15501501,0,10.3123,1977-09-19,74,0,FALSE
dobyla01,1,253,1533,999,999,0.4901,0.38433496,6,12.0658,1959-07-26,0,0,TRUE
doerrbo01,8,223,1865,999,999,0.4610,0.36168317,8,14.3918,1951-09-07,0,0,TRUE
donlimi01,3,51,1049,999,3.815,0.4683,0.38557090,0,15.2110,1914-10-01,0,0,FALSE
donovbi01,1,7,459,0.22600000000000003,2.8272222222222223,0.2488,0.24115465,0,20.3753,1918-09-02,289,0,FALSE
dooinre01,2,10,1290,999,999,0.2977,0.27183537,0,14.1945,1916-06-24,0,0,FALSE
downial01,0,2,409,0.21955555555555553,3.552222222222222,0.1604,0.16931429,1,15.9945,1977-07-13,73,0,FALSE
downibr01,0,275,2344,999,999,0.4253,0.37031030,1,19.3589,1992-10-04,0,0,FALSE
doyleja01,0,25,1587,999,999,0.3848,0.35146702,0,15.8849,1905-07-13,0,0,FALSE
doylela01,3,74,1766,999,999,0.4077,0.35689442,0,13.2082,1920-10-02,0,0,FALSE
drabedo01,3,2,412,0.25730769230769235,3.9584615384615387,0.2067,0.19272245,1,12.3315,1998-09-25,53,0,FALSE
drewjd01,2,242,1566,999,999,0.4895,0.38376269,1,13.0630,2011-09-28,0,0,FALSE
dreyfba99,0,0,0,999,999,0.0000,0.00000000,0,0.0000,2022-12-06,0,0,TRUE
dropowa01,3,152,1288,999,999,0.4319,0.32463216,1,12.0849,1961-05-17,0,0,FALSE
drysddo01,4,29,547,0.24,3.0471428571428576,0.2951,0.22822491,8,13.3096,1969-08-05,167,0,TRUE
duffyhu01,1,106,1737,999,999,0.4506,0.38593783,0,17.8137,1906-04-13,0,0,TRUE
duganjo01,5,42,1447,999,999,0.3717,0.31708185,0,13.8986,1931-05-26,0,0,FALSE
dunlafr01,0,41,969,999,9,0.4056,0.34126375,0,10.9753,1891-04-20,0,0,FALSE
dunnja01,0,1,490,999,6.1466666666666665,0.2922,0.28737638,0,7.4274,1904-10-08,103,0,FALSE
dunstsh01,1,150,1814,999,999,0.4156,0.29598080,1,17.4849,2002-09-29,0,0,FALSE
durhara01,0,192,1975,999,999,0.4357,0.35205545,2,13.4356,2008-09-28,0,0,FALSE
durocle01,0,24,1637,999,999,0.3204,0.29852027,2,19.5562,1945-04-18,0,0,TRUE
dyeje01,5,325,1763,999,999,0.4882,0.33818636,2,13.3918,2009-10-04,0,0,FALSE
dyered01,0,2,129,0.3416666666666666,7.478333333333334,0.3439,0.26946043,0,4.7644,1927-04-12,10,0,FALSE
dykesji01,1,108,2282,0.33,4.5,0.3993,0.36506216,1,21.4192,1939-10-01,0,0,FALSE
dykstle01,2,81,1278,999,999,0.4185,0.37454839,2,11.0493,1996-05-18,0,0,FALSE
earnsge01,6,3,319,0.2772727272727273,5.028181818181817,0.2955,0.25344394,0,8.3205,1936-09-26,115,0,FALSE
eckerde01,9,3,1073,0.2425200000000001,3.4704,0.1989,0.17277487,6,23.4740,1998-09-26,100,0,TRUE
eckstda01,2,35,1311,999,999,0.3553,0.34524028,2,9.5068,2010-10-03,0,0,FALSE
edmonji01,11,393,2011,999,999,0.5271,0.37590938,4,17.0438,2010-09-21,0,0,FALSE
edwarha01,0,51,735,999,999,0.4400,0.34277376,0,12.0521,1953-09-26,0,0,FALSE
edwarjo01,3,81,1470,999,999,0.3529,0.31111558,2,13.2740,1974-10-02,0,2.888888888888889,FALSE
ehmkeho01,1,0,429,0.8818749999999999,4.305625,0.2577,0.22801932,0,15.1205,1930-05-22,199,0,FALSE
eisenji01,0,52,1422,999,999,0.4043,0.34149691,0,16.4849,1998-09-26,0,0,FALSE
elberki01,0,10,1292,999,999,0.3390,0.35455068,0,16.3288,1914-09-24,0,0,FALSE
elliobo01,8,170,1978,999,999,0.4399,0.37469227,5,14.0493,1953-09-16,0,0,FALSE
ellioju01,0,4,253,0.29454545454545455,7.521818181818182,0.2188,0.20547890,0,11.1425,1934-06-09,51,0,FALSE
ellisdo01,0,0,388,0.267,3.8412500000000005,0.1411,0.17829457,1,11.2877,1979-09-29,71,0,FALSE
ennisde01,1,288,1903,999,999,0.4719,0.33791974,3,13.1370,1959-06-14,0,0,FALSE
ensje01,0,1,67,999,999,0.3925,0.32307692,0,3.1342,1925-06-15,0,0,FALSE
erskica01,0,1,360,0.255,4.321666666666666,0.1803,0.17434331,1,10.8932,1959-06-14,71,0,FALSE
erstada01,5,124,1654,999,999,0.4069,0.33576548,2,13.3151,2009-10-04,0,0,FALSE
evansbi99,0,0,0,999,999,0.0000,0.00000000,0,0.0000,2022-12-06,0,0,TRUE
evansda01,1,414,2687,999,999,0.4308,0.36092690,2,20.4630,1989-10-01,0,0,FALSE
evansdw01,13,385,2606,999,999,0.4702,0.36987734,3,19.0658,1991-10-06,0,0,FALSE
eversjo01,7,12,1784,999,999,0.3342,0.35605410,0,27.1151,1929-10-06,0,0,TRUE
ewingbu01,0,71,1345,999,4.208333333333333,0.4557,0.35213596,0,16.7233,1897-05-27,4,0,TRUE
faberre01,2,3,670,0.26400000000000007,3.225,0.1608,0.23997234,0,19.4411,1933-09-20,273,0,TRUE
facero01,1,0,853,0.26823529411764696,3.1582352941176475,0.1753,0.16836089,4,16.3425,1969-08-15,6,0,FALSE
fairlro01,0,215,2442,999,999,0.4080,0.36026842,2,20.0521,1978-09-23,0,0,FALSE
falkecy01,1,1,332,5.128333333333334,2.849999999999999,0.1803,0.19655916,0,14.2137,1917-07-04,180,0,FALSE
fellebo01,18,8,570,0.22944444444444448,3.382222222222222,0.2114,0.21371898,5,20.2137,1956-09-30,279,0,TRUE
fergujo01,0,122,1013,999,999,0.4092,0.35763780,0,12.7699,1983-06-17,0,0,FALSE
fernaal01,0,3,266,0.25739999999999996,3.7920000000000003,0.3095,0.22794118,0,9.8000,2000-05-18,33,0,FALSE
fernasi01,0,1,308,0.2199375,3.7737499999999997,0.2226,0.20640569,2,13.5507,1997-04-05,25,0,FALSE
fernato01,5,94,2158,999,999,0.3989,0.34723822,5,18.1096,2001-10-07,0,0,FALSE
ferreri01,0,28,1884,999,999,0.3633,0.37781593,2,18.4164,1947-09-14,0,0,TRUE
ferrewe01,10,38,548,0.291764705882353,5.9552941176470595,0.4456,0.35095689,0,13.6658,1941-05-06,227,0,FALSE
fieldce01,6,319,1470,999,999,0.4817,0.34500752,3,13.1589,1998-09-13,0,0,FALSE
